X,Y,OBJECTID,OBJECTID_1,longitude,latitude,port_name,total,domestic,foreign_,imports,exports
-10473872.87,3513343.3215,1,1,-94.08840083,30.07616046,"Beaumont, TX",101089801,36912920,64176881,16500295,47676586
-13158746.5459,3994094.3523,2,2,-118.20703142,33.74112628,"Long Beach, CA",80693406,9510927,71182479,49227370,21955109
-10842785.6516,3225277.7619,3,3,-97.40240073,27.81188766,"Corpus Christi, TX",111223976,25784719,85439257,18682254,66757003
-10457197.8094,3485706.1954,4,4,-93.93860621,29.86108587,"Port Arthur, TX",33943782,11269628,22674154,6928759,15745395
-9028121.4765,3774997.3145,5,5,-81.10099509,32.08898764,"Savannah, GA",41944446,926459,41017987,23441315,17576672
-13627720.7887,5986729.9207,6,6,-122.41989872,47.27288357,"Tacoma, WA",21496577,4314417,17182160,6612702,10569458
-8897308.409,3867813.9061,7,7,-79.92588131,32.79264967,"Charleston, SC",24596490,1993544,22602946,14075971,8526975
-13615292.5404,4554209.0915,8,8,-122.30825387,37.82127821,"Oakland, CA",19349104,1754188,17594916,7942596,9652320
-8364035.3771,4851674.0493,9,9,-75.13540816,39.90174267,"Philadelphia, PA",16313721,7065544,9248177,8360433,887744
-9078136.7297,3553497.435,10,10,-81.55028976,30.3878115,"Jacksonville, FL",17727173,7715640,10011533,8406184,1605349
-8678008.5325,4054275.5869,11,11,-77.955877,34.18949903,"Wilmington, NC",6260279,392619,5867660,3628910,2238750
-16685532.3182,8681116.0122,12,12,-149.88868705,61.23989545,"Anchorage, AK",2828417,1707511,1120906,1104997,15909
-8538546.5914,4125309.9405,13,13,-76.70306907,34.71567952,"Morehead City, NC",2519652,997544,1522108,1077390,444718
-9917369.431,3548693.7161,14,14,-89.08924538,30.35058011,"Gulfport, MS",1966349,22180,1944169,1403638,540531
-13042244.5254,3855643.5406,15,15,-117.16047596,32.70069693,"San Diego, CA",1510284,168998,1341286,1321141,20145
-8496418.5013,4419161.8277,16,16,-76.324626,36.856775,"Hampton Roads, VA",61701612,4531186,57170426,12879610,44290816
16104359.9844,1512404.7097,17,17,144.66792715,13.46060445,"Apra Harbor, GU",0,0,0,0,0
-13606470.0362,6102572.5803,18,18,-122.22899996,47.97425336,"Everett, WA",0,0,0,0,0
